National ID,Citizenship,First Name,Middle Name,Last Name,Alias,Birthplace,Birthdate,Age,Civil Status,Gender,Purok No,Voters Status,Phone Number,Email Address,Occupation,Employer Name,PWD,House Number,Address,Family Relation,SSS No,TIN No.,GSIS No.,Pagibig No,PhilHealth No.,Blood Type,Precinct No.
,Filipino,JENELYN,GALVEZ, LASALA ,,,28 02 1980,32,Married,,Milaflor Extension,No,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,RHENZ EMIL,GALVEZ, LASALA ,,,14 05 1965,36,Single,,Milaflor Extension,No,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,SOPHIA,GALVEZ, LASALA ,,,28 02 2022,58,Single,,Milaflor Extension,No,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,CAMUYAG ,GALVEZ, LASALA ,,,7 10 1997,2,Single,,Milaflor Extension,No,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,DHELLIA,GALVEZ, LASALA ,,,1 11 1985,26,Single,,Milaflor Extension,No,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,DAN MATTHEW,GALVEZ, LASALA ,,,28 02 1980,38,Single,,Milaflor Extension,No,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,BERTIAN,GALVEZ, LASALA ,,,28 02 1980,36,Single,,Mariano Village,No,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,SANTOS,GALVEZ, LASALA ,,,8 10 1995,10,Single,,Mariano Village,No,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,SUSANA,GALVEZ, LASALA ,,,5 07 2019,28,Single,,Mariano Village,No,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,ALTHEA,GALVEZ, LASALA ,,,5 07 2019,36,Single,,Mariano Village,No,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,BERTIAN,GALVEZ, LASALA ,,,28 02 2004,36,Single,,Mariano Village,No,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,DHELLIA,GALVEZ, LASALA ,,,14 05 1965,6,Single,,Mariano Village,No,,,NONE ,,,,,,,,,,,,
,Filipino,EMIL,GALVEZ, LASALA ,,,7 10 1997,26,Married,,Saint Lawrence Street,No,,,NONE ,,,,,,,,,,,,
,Filipino,CHARLES,GALVEZ, LASALA ,,,5 07 2019,26,Married,,Saint Lawrence Street,No,,,NONE ,,,,,,,,,,,,
,Filipino,LORRAINE,GALVEZ, LASALA ,,,9 10 1995,32,Married,,Saint Lawrence Street,No,,,NONE ,,,,,,,,,,,,
,Filipino,Lorenz,VIJANDRE,FAUSTINO ,,,14 05 1965,28,Married,,Saint Lawrence Street,No,,,NONE ,,,,,,,,,,,,
,Filipino,MARIBEL ,VIJANDRE,FAUSTINO ,,,9 10 1995,26,Married,,Saint Lawrence Street,No,,,NONE ,,,,,,,,,,,,
,Filipino,MARIE,VIJANDRE,FAUSTINO ,,,9 10 1995,28,Married,,Saint Lawrence Street,No,,,NONE ,,,,,,,,,,,,
,Filipino,LUNA,VIJANDRE,FAUSTINO ,,,14 05 1965,28,Married,,Saint Lawrence Street,No,,,NONE ,,,,,,,,,,,,
,Filipino,PRINCESS,VIJANDRE,FAUSTINO ,,,5 07 2019,26,Married,,Saint Lawrence Street,No,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,LEA,VIJANDRE,FAUSTINO ,,,9 10 1995,32,Married,,Kalye Buntisan,No,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,ELISHA,VIJANDRE,FAUSTINO ,,,9 10 1995,28,Married,,Kalye Buntisan,No,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,BETHEL,VIJANDRE,FAUSTINO ,,,14 05 1965,28,Married,,Kalye Buntisan,No,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,JASSEN,VIJANDRE,FAUSTINO ,,,7 10 1997,58,Married,,Kalye Buntisan,No,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,ERINE,VIJANDRE,FAUSTINO ,,,5 07 2019,26,Married,,Kalye Buntisan,No,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,ABEGAIL,VIJANDRE,FAUSTINO ,,,9 10 1995,32,Married,,Kalye Buntisan,No,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,KEANNA,VIJANDRE,FAUSTINO ,,,14 05 1965,28,Married,,Kalye Buntisan,No,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,EMERIE,VIJANDRE,FAUSTINO ,,,9 10 1995,26,Single,,San Lorenzo Street,No,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,BUNAGAN,VIJANDRE,FAUSTINO ,,,14 05 1965,28,Single,,San Lorenzo Street,No,,,NONE ,,,,,,,,,,,,
,Filipino,ROBLEDO,VIJANDRE,FAUSTINO ,,,5 07 2019,26,Married,,San Lorenzo Street,No,,,NONE ,,,,,,,,,,,,
,Filipino,KATRINA,VIJANDRE,FAUSTINO ,,,9 10 1995,32,Married,,San Lorenzo Street,No,,,NONE ,,,,,,,,,,,,
,Filipino,MAE,VIJANDRE,FAUSTINO ,,,7 10 1997,28,Married,,San Lorenzo Street,No,,,NONE ,,,,,,,,,,,,
,Filipino,PATRICIA,VIJANDRE,FAUSTINO ,,,14 05 1965,26,Married,,Milagrosa Street,No,,,NONE ,,,,,,,,,,,,
,Filipino,YUAN,VIJANDRE,FAUSTINO ,,,9 05 2004,58,Married,,Milagrosa Street,No,,,NONE ,,,,,,,,,,,,
,Filipino,GABRIEL,BALMASEDA,DELA CRUZ ,,,3 05 2004,32,Married,,Milagrosa Street,No,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,MARK,BALMASEDA,DELA CRUZ ,,,1 06 2004,22,Married,,Milagrosa Street,No,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,JUNNEL,BALMASEDA,DELA CRUZ ,,,2 07 2004,26,Married,,Milagrosa Street,No,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,AGUSTIN,BALMASEDA,DELA CRUZ ,,,3 08 2004,22,Married,,Milagrosa Street,No,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,ERICK,BALMASEDA,DELA CRUZ ,,,4 08 2004,26,Married,,Milagrosa Street,No,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,DANIELLA,BALMASEDA,DELA CRUZ ,,,5 09 2004,22,Married,,Violeta Complex ,Yes,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,CHARLES,BALMASEDA,DELA CRUZ ,,,6 10 2004,32,Single,,Violeta Complex ,Yes,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,LILOU,BALMASEDA,DELA CRUZ ,,,7 11 2004,22,Single,,Violeta Complex ,Yes,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,ALTHEA,BALMASEDA,DELA CRUZ ,,,8 12 2004,22,Single,,Violeta Complex ,Yes,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,NADINE,BALMASEDA,DELA CRUZ ,,,9 05 2004,26,Single,,Violeta Complex ,Yes,,,NONE ,,,,,,,,,,,,
,Filipino,YASMINE ,BALMASEDA,DELA CRUZ ,,,10 05 2004,26,Single,,Violeta Complex ,Yes,,,NONE ,,,,,,,,,,,,
,Filipino,MARVIN,BALMASEDA,DELA CRUZ ,,,11 05 2004,32,Single,,Violeta Complex ,Yes,,,NONE ,,,,,,,,,,,,
,Filipino,GREGOR,BALMASEDA,DELA CRUZ ,,,12 05 2004,32,Single,,Violeta Complex ,Yes,,,NONE ,,,,,,,,,,,,
,Filipino,IAN,BALMASEDA,DELA CRUZ ,,,1 05 2004,26,Single,,Violeta Complex ,Yes,,,NONE ,,,,,,,,,,,,
,Filipino,MELROSE,BALMASEDA,DELA CRUZ ,,,2 05 2004,32,Single,,Violeta Complex ,Yes,,,NONE ,,,,,,,,,,,,
,Filipino,MURATO,BALMASEDA,DELA CRUZ ,,,3 05 2004,26,Single,,Violeta Complex ,Yes,,,NONE ,,,,,,,,,,,,
,Filipino,KARINA,BALMASEDA,DELA CRUZ ,,,4 05 2004,26,Single,,Violeta Complex ,Yes,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,HALILI,BALMASEDA,DELA CRUZ ,,,5 05 2004,26,Single,,Violeta Complex ,Yes,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,WALDY,BALMASEDA,DELA CRUZ ,,,6 05 2004,32,Single,,Violeta Complex ,Yes,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,WESLEY,BALMASEDA,DELA CRUZ ,,,7 05 2004,32,Single,,Violeta Complex ,Yes,,,EMPLOYEE,,,,,,,,,,,,
,Filipino,ALDEN,BALMASEDA,DELA CRUZ ,,,8 05 2004,26,Single,,Violeta Complex ,Yes,,,NONE ,,,,,,,,,,,,
,Filipino,ALDEAN,BALMASEDA,DELA CRUZ ,,,8 05 2004,26,Single,,Violeta Complex ,Yes,,,NONE ,,,,,,,,,,,,
