national_id,citizenship,firstname,middlename,lastname,alias,birthplace,birthdate,age,civilstatus,gender,purok,voterstatus,phone,email,occupation,employer_name,pwd,address,sss_no,tin_no,precinct,gsis_no,pagibig_no,philhealth_no
,Filipino,JENELYN,GALVEZ, LASALA ,,,28 02 1980,32,Married,Male,Milaflor Extension,No,,,EMPLOYEE,,No,,,,,,,
,Filipino,RHENZ EMIL,GALVEZ, LASALA ,,,14 05 1965,36,Single,Male,Milaflor Extension,No,,,EMPLOYEE,,No,,,,,,,
,Filipino,SOPHIA,GALVEZ, LASALA ,,,28 02 2022,58,Single,Male,Milaflor Extension,No,,,EMPLOYEE,,No,,,,,,,
,Filipino,CAMUYAG ,GALVEZ, LASALA ,,,7 10 1997,2,Single,Male,Milaflor Extension,No,,,EMPLOYEE,,No,,,,,,,
,Filipino,DHELLIA,GALVEZ, LASALA ,,,1 11 1985,26,Single,Male,Milaflor Extension,No,,,EMPLOYEE,,No,,,,,,,
,Filipino,DAN MATTHEW,GALVEZ, LASALA ,,,28 02 1980,38,Single,Male,Milaflor Extension,No,,,EMPLOYEE,,No,,,,,,,
,Filipino,BERTIAN,GALVEZ, LASALA ,,,28 02 1980,36,Single,Male,Mariano Village,No,,,EMPLOYEE,,No,,,,,,,
,Filipino,SANTOS,GALVEZ, LASALA ,,,8 10 1995,10,Single,Male,Mariano Village,No,,,EMPLOYEE,,No,,,,,,,
,Filipino,SUSANA,GALVEZ, LASALA ,,,5 07 2019,28,Single,Female,Mariano Village,No,,,EMPLOYEE,,No,,,,,,,
,Filipino,ALTHEA,GALVEZ, LASALA ,,,5 07 2019,36,Single,Female,Mariano Village,No,,,EMPLOYEE,,No,,,,,,,
,Filipino,BERTIAN,GALVEZ, LASALA ,,,28 02 2004,36,Single,Female,Mariano Village,No,,,NONE ,,No,,,,,,,
,Filipino,DHELLIA,GALVEZ, LASALA ,,,14 05 1965,6,Single,Female,Mariano Village,No,,,NONE ,,No,,,,,,,
,Filipino,EMIL,GALVEZ, LASALA ,,,7 10 1997,26,Married,Female,Saint Lawrence Street,No,,,NONE ,,No,,,,,,,
,Filipino,CHARLES,GALVEZ, LASALA ,,,5 07 2019,26,Married,Female,Saint Lawrence Street,No,,,NONE ,,No,,,,,,,
,Filipino,LORRAINE,VIJANDRE, LASALA ,,,9 10 1995,32,Married,Female,Saint Lawrence Street,No,,,NONE ,,No,,,,,,,
,Filipino,Lorenz,VIJANDRE,FAUSTINO ,,,14 05 1965,28,Married,Female,Saint Lawrence Street,No,,,NONE ,,No,,,,,,,
,Filipino,MARIBEL ,VIJANDRE,FAUSTINO ,,,9 10 1995,26,Married,Female,Saint Lawrence Street,No,,,NONE ,,No,,,,,,,
,Filipino,MARIE,VIJANDRE,FAUSTINO ,,,9 10 1995,28,Married,Female,Saint Lawrence Street,No,,,NONE ,,No,,,,,,,
,Filipino,LUNA,VIJANDRE,FAUSTINO ,,,14 05 1965,28,Married,Female,Saint Lawrence Street,No,,,EMPLOYEE,,No,,,,,,,
,Filipino,PRINCESS,VIJANDRE,FAUSTINO ,,,5 07 2019,26,Married,Female,Saint Lawrence Street,No,,,EMPLOYEE,,No,,,,,,,
,Filipino,LEA,VIJANDRE,FAUSTINO ,,,9 10 1995,32,Married,Female,Kalye Buntisan,No,,,EMPLOYEE,,No,,,,,,,
,Filipino,ELISHA,VIJANDRE,FAUSTINO ,,,9 10 1995,28,Married,Female,Kalye Buntisan,No,,,EMPLOYEE,,No,,,,,,,
,Filipino,BETHEL,VIJANDRE,FAUSTINO ,,,14 05 1965,28,Married,Female,Kalye Buntisan,No,,,EMPLOYEE,,No,,,,,,,
,Filipino,JASSEN,VIJANDRE,FAUSTINO ,,,7 10 1997,58,Married,Female,Kalye Buntisan,No,,,EMPLOYEE,,No,,,,,,,
,Filipino,ERINE,VIJANDRE,FAUSTINO ,,,5 07 2019,26,Married,Female,Kalye Buntisan,No,,,EMPLOYEE,,No,,,,,,,
,Filipino,ABEGAIL,VIJANDRE,FAUSTINO ,,,9 10 1995,32,Married,Female,Kalye Buntisan,No,,,EMPLOYEE,,No,,,,,,,
,Filipino,KEANNA,VIJANDRE,FAUSTINO ,,,14 05 1965,28,Married,Female,Kalye Buntisan,No,,,EMPLOYEE,,No,,,,,,,
,Filipino,EMERIE,VIJANDRE,FAUSTINO ,,,9 10 1995,26,Single,Female,San Lorenzo Street,No,,,NONE ,,No,,,,,,,
,Filipino,BUNAGAN,VIJANDRE,FAUSTINO ,,,14 05 1965,28,Single,Female,San Lorenzo Street,No,,,NONE ,,No,,,,,,,
,Filipino,ROBLEDO,VIJANDRE,FAUSTINO ,,,5 07 2019,26,Married,Female,San Lorenzo Street,No,,,NONE ,,No,,,,,,,
,Filipino,KATRINA,VIJANDRE,FAUSTINO ,,,9 10 1995,32,Married,Female,San Lorenzo Street,No,,,NONE ,,No,,,,,,,
,Filipino,MAE,VIJANDRE,FAUSTINO ,,,7 10 1997,28,Married,Female,San Lorenzo Street,No,,,NONE ,,No,,,,,,,
,Filipino,PATRICIA,VIJANDRE,FAUSTINO ,,,14 05 1965,26,Married,Female,Milagrosa Street,No,,,NONE ,,No,,,,,,,
,Filipino,YUAN,BALMASEDA,FAUSTINO ,,,9 05 2004,58,Married,Female,Milagrosa Street,No,,,EMPLOYEE,,No,,,,,,,
,Filipino,GABRIEL,BALMASEDA,DELA CRUZ ,,,3 05 2004,32,Married,Female,Milagrosa Street,No,,,EMPLOYEE,,No,,,,,,,
,Filipino,MARK,BALMASEDA,DELA CRUZ ,,,1 06 2004,22,Married,Female,Milagrosa Street,No,,,EMPLOYEE,,No,,,,,,,
,Filipino,JUNNEL,BALMASEDA,DELA CRUZ ,,,2 07 2004,26,Married,Male,Milagrosa Street,No,,,EMPLOYEE,,No,,,,,,,
,Filipino,AGUSTIN,BALMASEDA,DELA CRUZ ,,,3 08 2004,22,Married,Male,Milagrosa Street,No,,,EMPLOYEE,,No,,,,,,,
,Filipino,ERICK,BALMASEDA,DELA CRUZ ,,,4 08 2004,26,Married,Male,Milagrosa Street,No,,,EMPLOYEE,,No,,,,,,,
,Filipino,DANIELLA,BALMASEDA,DELA CRUZ ,,,5 09 2004,22,Married,Male,Violeta Complex ,Yes,,,EMPLOYEE,,No,,,,,,,
,Filipino,CHARLES,BALMASEDA,DELA CRUZ ,,,6 10 2004,32,Single,Male,Violeta Complex ,Yes,,,EMPLOYEE,,No,,,,,,,
,Filipino,LILOU,BALMASEDA,DELA CRUZ ,,,7 11 2004,22,Single,Male,Violeta Complex ,Yes,,,EMPLOYEE,,No,,,,,,,
,Filipino,ALTHEA,BALMASEDA,DELA CRUZ ,,,8 12 2004,22,Single,Male,Violeta Complex ,Yes,,,NONE ,,No,,,,,,,
,Filipino,NADINE,BALMASEDA,DELA CRUZ ,,,9 05 2004,26,Single,Male,Violeta Complex ,Yes,,,NONE ,,No,,,,,,,
,Filipino,YASMINE ,BALMASEDA,DELA CRUZ ,,,10 05 2004,26,Single,Male,Violeta Complex ,Yes,,,NONE ,,No,,,,,,,
,Filipino,MARVIN,BALMASEDA,DELA CRUZ ,,,11 05 2004,32,Single,Male,Violeta Complex ,Yes,,,NONE ,,No,,,,,,,
,Filipino,GREGOR,BALMASEDA,DELA CRUZ ,,,12 05 2004,32,Single,Male,Violeta Complex ,Yes,,,NONE ,,No,,,,,,,
,Filipino,IAN,BALMASEDA,DELA CRUZ ,,,1 05 2004,26,Single,Male,Violeta Complex ,Yes,,,NONE ,,No,,,,,,,
,Filipino,MELROSE,BALMASEDA,DELA CRUZ ,,,2 05 2004,32,Single,Male,Violeta Complex ,Yes,,,NONE ,,No,,,,,,,
,Filipino,MURATO,BALMASEDA,DELA CRUZ ,,,3 05 2004,26,Single,Male,Violeta Complex ,Yes,,,EMPLOYEE,,No,,,,,,,
,Filipino,KARINA,BALMASEDA,DELA CRUZ ,,,4 05 2004,26,Single,Male,Violeta Complex ,Yes,,,EMPLOYEE,,No,,,,,,,
,Filipino,HALILI,BALMASEDA,DELA CRUZ ,,,5 05 2004,26,Single,Male,Violeta Complex ,Yes,,,EMPLOYEE,,No,,,,,,,
,Filipino,WALDY,BALMASEDA,DELA CRUZ ,,,6 05 2004,32,Single,Male,Violeta Complex ,Yes,,,EMPLOYEE,,No,,,,,,,
,Filipino,WESLEY,BALMASEDA,DELA CRUZ ,,,7 05 2004,32,Single,Female,Violeta Complex ,Yes,,,EMPLOYEE,,No,,,,,,,
